學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0001,國立政治大學,220201,中國文學系,D 日,M 碩士,9,15,6,27,10,6,5,9,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220201,中國文學系,D 日,B 學士,18,68,29,60,16,66,19,63,0,0,0,0,0,0,8,25,30 臺北市,1 一般
0001,國立政治大學,220201,中國文學系－國文教學碩士在職專班,N 職,M 碩士,6,22,5,13,1,10,1,7,1,2,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220307,英國語文學系－文學組,D 日,D 博士,0,2,0,1,1,0,1,1,1,1,0,1,0,1,0,0,30 臺北市,1 一般
0001,國立政治大學,220307,英國語文學系－英語教學組,D 日,D 博士,1,1,0,4,0,0,1,1,0,2,0,1,0,2,0,0,30 臺北市,1 一般
0001,國立政治大學,220307,英國語文學系,D 日,M 碩士,8,12,5,9,1,9,3,15,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220307,英國語文學系,D 日,B 學士,18,46,18,50,25,46,13,57,0,0,0,0,0,0,11,25,30 臺北市,1 一般
0001,國立政治大學,220307,英國語文學系－英語教學碩士在職專班,N 職,M 碩士,0,2,2,13,0,0,2,9,0,2,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220320,日本語文學系,D 日,M 碩士,2,7,2,5,3,4,0,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220320,日本語文學系,D 日,B 學士,15,21,7,32,6,37,9,29,0,0,0,0,0,0,5,19,30 臺北市,1 一般
0001,國立政治大學,220322,阿拉伯語文學系,D 日,B 學士,17,29,15,29,6,30,11,21,0,0,0,0,0,0,8,8,30 臺北市,1 一般
0001,國立政治大學,220324,韓國語文學系,D 日,M 碩士,1,8,0,3,1,4,0,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220324,韓國語文學系,D 日,B 學士,4,29,6,29,3,29,4,30,0,0,0,0,0,0,4,23,30 臺北市,1 一般
0001,國立政治大學,220326,土耳其語文學系,D 日,B 學士,11,26,9,21,7,16,2,18,0,0,0,0,0,0,5,13,30 臺北市,1 一般
0001,國立政治大學,220327,歐洲語文學系,D 日,B 學士,21,41,11,52,11,56,12,50,0,0,0,0,0,0,7,53,30 臺北市,1 一般
0001,國立政治大學,220327,歐洲語文學系－歐洲語言文化學程,N 職,M 碩士,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220333,斯拉夫語文學系,D 日,M 碩士,0,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220333,斯拉夫語文學系,D 日,B 學士,17,43,23,35,17,32,14,36,0,0,0,0,0,0,9,22,30 臺北市,1 一般
0001,國立政治大學,220701,語言學研究所,D 日,D 博士,0,0,0,0,1,1,1,0,0,0,2,1,0,2,0,0,30 臺北市,1 一般
0001,國立政治大學,220701,語言學研究所,D 日,M 碩士,1,4,2,8,2,8,0,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220801,宗教研究所,D 日,D 博士,4,3,5,1,2,4,1,3,2,1,2,1,3,2,0,0,30 臺北市,1 一般
0001,國立政治大學,220801,宗教研究所,D 日,M 碩士,4,4,4,7,5,8,2,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220901,歷史學系,D 日,D 博士,3,2,2,3,1,2,3,2,7,3,3,2,3,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220901,歷史學系,D 日,M 碩士,14,3,5,9,11,2,8,6,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,220901,歷史學系,D 日,B 學士,35,17,34,10,20,11,25,18,0,0,0,0,0,0,11,8,30 臺北市,1 一般
0001,國立政治大學,220903,台灣史研究所,D 日,D 博士,1,1,1,3,2,0,0,2,1,0,3,3,4,2,0,0,30 臺北市,1 一般
0001,國立政治大學,220903,台灣史研究所,D 日,M 碩士,7,7,5,6,8,3,10,6,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,221101,哲學系,D 日,D 博士,5,1,1,1,4,2,0,3,6,0,2,3,5,1,0,0,30 臺北市,1 一般
0001,國立政治大學,221101,哲學系,D 日,M 碩士,8,7,6,3,5,3,7,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,221101,哲學系,D 日,B 學士,23,32,28,16,23,19,19,10,0,0,0,0,0,0,12,12,30 臺北市,1 一般
0001,國立政治大學,229918,中東與中亞研究碩士學位學程,D 日,M 碩士,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310101,經濟學系,D 日,D 博士,3,0,3,0,2,0,0,1,2,0,3,0,1,2,0,0,30 臺北市,1 一般
0001,國立政治大學,310101,經濟學系,D 日,M 碩士,25,7,22,16,12,0,3,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310101,經濟學系,D 日,B 學士,42,46,46,47,62,48,59,47,0,0,0,0,0,0,12,14,30 臺北市,1 一般
0001,國立政治大學,310112,應用經濟與社會發展英語碩士學位學程,D 日,M 碩士,3,8,9,6,2,3,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310201,政治學系,D 日,D 博士,5,1,3,2,3,1,3,0,6,0,6,1,2,1,0,0,30 臺北市,1 一般
0001,國立政治大學,310201,政治學系,D 日,M 碩士,14,8,12,11,13,10,9,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310201,政治學系,D 日,B 學士,22,31,21,27,20,22,14,36,0,0,0,0,0,0,7,9,30 臺北市,1 一般
0001,國立政治大學,310207,國際事務學院國家安全與大陸研究碩士在職專班,N 職,M 碩士,21,7,19,4,5,2,0,0,1,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310301,社會學系,D 日,D 博士,2,2,1,0,1,0,0,0,2,1,1,0,4,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310301,社會學系,D 日,M 碩士,13,10,6,8,7,6,4,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310301,社會學系,D 日,B 學士,14,33,18,29,12,30,24,29,0,0,0,0,0,0,7,7,30 臺北市,1 一般
0001,國立政治大學,310401,民族學系,D 日,D 博士,4,1,2,0,3,2,2,1,2,1,1,0,5,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310401,民族學系,D 日,M 碩士,1,3,3,4,4,2,2,9,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310401,民族學系,D 日,B 學士,20,31,14,19,18,18,8,31,0,0,0,0,0,0,4,13,30 臺北市,1 一般
0001,國立政治大學,310501,心理學系,D 日,D 博士,0,3,1,0,0,1,0,2,0,2,2,2,1,2,0,0,30 臺北市,1 一般
0001,國立政治大學,310501,心理學系,D 日,M 碩士,11,11,9,17,6,13,4,13,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310501,心理學系,D 日,B 學士,18,30,25,25,20,34,20,34,0,0,0,0,0,0,8,8,30 臺北市,1 一般
0001,國立政治大學,310506,輔導與諮商碩士學位學程,D 日,M 碩士,3,10,3,6,1,5,1,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310702,東亞研究所,D 日,D 博士,4,2,3,0,6,0,2,0,1,1,2,3,3,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310702,東亞研究所,D 日,M 碩士,12,7,11,8,15,4,4,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310705,日本研究博士學位學程,D 日,D 博士,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310705,日本研究碩士學位學程,D 日,M 碩士,6,6,6,5,2,7,3,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310709,俄羅斯研究所,D 日,M 碩士,6,3,7,4,2,4,4,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310728,亞太研究英語博士學位學程,D 日,D 博士,6,5,6,4,5,3,2,4,7,4,4,0,3,1,0,0,30 臺北市,1 一般
0001,國立政治大學,310728,亞太研究英語碩士學位學程,D 日,M 碩士,9,9,8,19,7,12,9,7,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310801,公共行政學系,D 日,D 博士,1,2,1,1,3,1,1,1,1,1,3,0,1,1,0,0,30 臺北市,1 一般
0001,國立政治大學,310801,公共行政學系,D 日,M 碩士,13,30,11,18,7,22,8,9,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310801,公共行政學系,D 日,B 學士,8,43,16,36,8,43,11,34,0,0,0,0,0,0,3,5,30 臺北市,1 一般
0001,國立政治大學,310804,行政管理碩士學程,N 職,M 碩士,30,57,30,54,23,20,9,15,6,6,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310811,地政學系,D 日,D 博士,4,1,1,0,2,0,2,4,2,0,3,2,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310811,地政學系,D 日,M 碩士,18,15,14,16,8,6,1,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310811,地政學系－土地測量與資訊組,D 日,B 學士,23,13,25,15,12,21,19,13,0,0,0,0,0,0,4,0,30 臺北市,1 一般
0001,國立政治大學,310811,地政學系－土地資源規劃組,D 日,B 學士,21,23,24,24,14,22,21,19,0,0,0,0,0,0,4,7,30 臺北市,1 一般
0001,國立政治大學,310811,地政學系－土地管理組,D 日,B 學士,16,29,20,29,23,24,25,21,0,0,0,0,0,0,9,3,30 臺北市,1 一般
0001,國立政治大學,310811,地政學系,N 職,M 碩士,13,16,16,13,15,8,8,4,6,3,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310905,外交學系,D 日,D 博士,1,0,1,1,1,0,2,0,1,1,4,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310905,外交學系,D 日,M 碩士,5,13,5,12,12,12,4,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310905,外交學系,D 日,B 學士,21,40,24,43,21,45,20,46,0,0,0,0,0,0,7,9,30 臺北市,1 一般
0001,國立政治大學,310905,外交學系－戰略與國際事務碩士在職專班,N 職,M 碩士,18,8,14,5,8,6,6,1,4,1,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,310909,國際研究英語碩士學位學程,D 日,M 碩士,17,9,8,10,1,3,1,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,311002,國家發展研究所,D 日,D 博士,4,2,2,2,6,1,3,0,2,4,2,1,1,1,0,0,30 臺北市,1 一般
0001,國立政治大學,311002,國家發展研究所,D 日,M 碩士,11,13,9,9,8,9,9,8,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,311003,勞工研究所,D 日,M 碩士,10,17,7,14,9,13,4,8,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,320102,傳播學院傳播碩士學位學程,D 日,M 碩士,18,53,24,45,15,41,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,320102,傳播學院傳播學士學位學程,D 日,B 學士,0,0,0,0,0,0,4,20,0,0,0,0,0,0,5,9,30 臺北市,1 一般
0001,國立政治大學,320115,國際傳播英語碩士學位學程,D 日,M 碩士,3,22,4,8,2,8,1,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,320201,新聞學系,D 日,D 博士,0,0,0,0,0,0,1,1,2,1,2,1,4,0,0,0,30 臺北市,1 一般
0001,國立政治大學,320201,新聞學系,D 日,M 碩士,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,320201,新聞學系,D 日,B 學士,0,0,0,0,9,43,20,71,0,0,0,0,0,0,11,26,30 臺北市,1 一般
0001,國立政治大學,320301,廣播電視學系,D 日,M 碩士,0,0,0,0,1,1,4,10,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,320301,廣播電視學系,D 日,B 學士,0,0,0,0,22,52,14,39,0,0,0,0,0,0,3,17,30 臺北市,1 一般
0001,國立政治大學,320603,圖書資訊與檔案學研究所,D 日,D 博士,0,2,1,1,1,3,1,2,0,1,0,1,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,320603,圖書資訊與檔案學研究所,D 日,M 碩士,4,17,7,10,2,5,1,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,320603,圖書資訊與檔案學研究所－圖書資訊學數位碩士在職專班,N 職,M 碩士,2,22,2,19,1,6,3,4,1,1,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,320802,廣告學系,D 日,M 碩士,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,320802,廣告學系,D 日,B 學士,0,0,0,0,19,82,11,36,0,0,0,0,0,0,4,16,30 臺北市,1 一般
0001,國立政治大學,329999,傳播學院博士班,D 日,D 博士,3,4,4,4,0,3,0,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,329999,傳播學院大一大二不分系,D 日,B 學士,47,161,64,144,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,329999,傳播學院碩士在職專班,N 職,M 碩士,5,20,9,12,5,11,2,5,1,1,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,340201,會計學系,D 日,D 博士,2,1,0,1,0,1,2,2,1,2,1,1,1,0,0,0,30 臺北市,1 一般
0001,國立政治大學,340201,會計學系－稅務組,D 日,M 碩士,4,15,7,7,5,1,2,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,340201,會計學系－會計組,D 日,M 碩士,20,22,14,32,3,6,1,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,340201,會計學系,D 日,B 學士,42,52,47,65,42,67,23,86,0,0,0,0,0,0,11,14,30 臺北市,1 一般
0001,國立政治大學,340301,企業管理學系,D 日,D 博士,0,0,5,7,1,3,5,3,4,1,3,3,3,3,0,0,30 臺北市,1 一般
0001,國立政治大學,340301,企業管理學系－產業組,D 日,D 博士,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,340301,企業管理學系－學術組,D 日,D 博士,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,340301,企業管理研究所(MBA學位學程),D 日,M 碩士,46,71,46,72,11,13,5,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,340301,企業管理學系,D 日,B 學士,40,65,51,49,45,57,40,67,0,0,0,0,0,0,18,16,30 臺北市,1 一般
0001,國立政治大學,340303,經營管理碩士學程－全球台商班,N 職,M 碩士,20,10,16,9,8,4,3,3,1,1,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,340303,經營管理碩士學程－高階經營班,N 職,M 碩士,103,83,95,75,68,41,18,9,8,2,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,340310,國際經營管理英語碩士學位學程,D 日,M 碩士,28,29,35,19,8,15,5,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,340408,國際經營與貿易學系,D 日,D 博士,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,30 臺北市,1 一般
0001,國立政治大學,340408,國際經營與貿易學系,D 日,M 碩士,21,28,16,28,6,8,1,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,340408,國際經營與貿易學系,D 日,B 學士,18,60,39,41,24,55,28,56,0,0,0,0,0,0,10,5,30 臺北市,1 一般
0001,國立政治大學,340504,財務管理學系,D 日,D 博士,1,1,0,0,0,1,1,1,2,1,1,0,0,1,0,0,30 臺北市,1 一般
0001,國立政治大學,340504,財務管理學系,D 日,M 碩士,20,13,19,16,8,4,2,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,340504,財務管理學系,D 日,B 學士,20,28,31,15,16,33,21,27,0,0,0,0,0,0,8,7,30 臺北市,1 一般
0001,國立政治大學,340505,金融學系,D 日,D 博士,6,0,4,2,4,0,4,1,1,2,2,0,2,1,0,0,30 臺北市,1 一般
0001,國立政治大學,340505,金融學系,D 日,M 碩士,18,15,23,17,2,4,2,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,340505,金融學系,D 日,B 學士,19,35,34,24,26,32,33,32,0,0,0,0,0,0,8,6,30 臺北市,1 一般
0001,國立政治大學,340601,風險管理與保險學系,D 日,D 博士,3,1,1,0,3,2,4,0,2,0,0,1,1,0,0,0,30 臺北市,1 一般
0001,國立政治大學,340601,風險管理與保險學系,D 日,M 碩士,12,14,17,13,0,5,3,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,340601,風險管理與保險學系,D 日,B 學士,26,22,31,18,15,28,19,32,0,0,0,0,0,0,7,6,30 臺北市,1 一般
0001,國立政治大學,340701,財政學系,D 日,D 博士,2,1,1,4,1,0,1,0,0,0,0,1,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,340701,財政學系,D 日,M 碩士,9,21,17,14,4,5,5,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,340701,財政學系,D 日,B 學士,37,47,57,51,39,69,28,79,0,0,0,0,0,0,7,13,30 臺北市,1 一般
0001,國立政治大學,349984,科技管理與智慧財產研究所,D 日,D 博士,0,0,2,2,2,3,4,0,1,1,6,0,3,1,0,0,30 臺北市,1 一般
0001,國立政治大學,349984,科技管理與智慧財產研究所－產業組,D 日,D 博士,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,349984,科技管理與智慧財產研究所－學術組,D 日,D 博士,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,349984,科技管理與智慧財產研究所－科技管理組,D 日,M 碩士,13,18,21,12,13,8,2,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,349984,科技管理與智慧財產研究所－智慧財產組,D 日,M 碩士,8,12,4,12,6,10,2,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,380101,法律學系,D 日,D 博士,2,2,4,2,7,2,5,4,4,3,3,2,4,1,0,0,30 臺北市,1 一般
0001,國立政治大學,380101,法律學系,D 日,M 碩士,37,28,38,30,27,27,32,40,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,380101,法律學系,D 日,B 學士,79,83,79,88,77,102,94,96,0,0,0,0,0,0,21,17,30 臺北市,1 一般
0001,國立政治大學,380204,法律科際整合研究所,D 日,M 碩士,15,13,11,16,10,12,13,13,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,389998,法學院碩士在職專班,N 職,M 碩士,37,28,26,29,39,31,30,17,21,10,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,440302,應用物理研究所,D 日,M 碩士,2,1,6,1,9,2,1,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,460102,應用數學系,D 日,D 博士,0,1,0,0,2,0,1,0,1,1,1,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,460102,應用數學系,D 日,M 碩士,12,3,13,4,5,1,4,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,460102,應用數學系,D 日,B 學士,34,7,35,9,26,11,34,11,0,0,0,0,0,0,18,3,30 臺北市,1 一般
0001,國立政治大學,460201,統計學系,D 日,D 博士,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,460201,統計學系,D 日,M 碩士,17,13,24,7,6,2,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,460201,統計學系,D 日,B 學士,26,22,34,18,34,19,25,25,0,0,0,0,0,0,11,0,30 臺北市,1 一般
0001,國立政治大學,480109,資訊管理學系,D 日,D 博士,8,0,5,4,9,0,4,2,8,1,7,0,4,0,0,0,30 臺北市,1 一般
0001,國立政治大學,480109,資訊管理學系,D 日,M 碩士,23,10,23,13,8,0,1,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,480109,資訊管理學系,D 日,B 學士,46,40,47,31,55,24,49,23,0,0,0,0,0,0,14,3,30 臺北市,1 一般
0001,國立政治大學,480505,數位內容碩士學位學程,D 日,M 碩士,4,9,8,7,6,6,3,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,520116,資訊科學系,D 日,D 博士,2,0,2,1,1,0,1,0,2,0,2,0,3,1,0,0,30 臺北市,1 一般
0001,國立政治大學,520116,資訊科學系,D 日,M 碩士,26,11,28,8,17,2,11,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,520116,資訊科學系,D 日,B 學士,38,11,36,9,42,7,33,15,0,0,0,0,0,0,13,3,30 臺北市,1 一般
0001,國立政治大學,520116,資訊科學系,N 職,M 碩士,19,6,16,7,11,8,8,2,1,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,520178,社群網路與人智計算國際研究生博士學位學程,D 日,D 博士,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,720111,神經科學研究所,D 日,M 碩士,1,5,2,1,1,2,1,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,760301,社會工作研究所,D 日,D 博士,3,1,1,2,1,2,2,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,760301,社會工作研究所,D 日,M 碩士,5,8,5,10,2,10,3,11,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0002,國立清華大學,220101,台灣文學研究所,D 日,D 博士,2,2,3,0,0,2,1,3,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,220101,台灣文學研究所,D 日,M 碩士,4,8,4,7,3,11,2,6,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,220201,中國文學系,D 日,D 博士,2,5,6,4,8,2,1,6,9,3,4,5,3,6,0,0,18 新竹市,1 一般
0002,國立清華大學,220201,中國文學系,D 日,M 碩士,6,9,4,13,6,16,4,19,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,220201,中國文學系,D 日,B 學士,12,44,7,38,14,32,8,32,0,0,0,0,0,0,5,14,18 新竹市,1 一般
0002,國立清華大學,220301,外國語文學系,D 日,M 碩士,6,10,3,10,2,16,3,7,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,220301,外國語文學系,D 日,B 學士,3,49,5,42,5,42,8,47,0,0,0,0,0,0,3,19,18 新竹市,1 一般
0002,國立清華大學,220701,語言學研究所,D 日,D 博士,0,2,1,1,2,0,0,1,2,1,3,1,2,3,0,0,18 新竹市,1 一般
0002,國立清華大學,220701,語言學研究所,D 日,M 碩士,11,9,1,3,5,5,2,5,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,220901,歷史研究所,D 日,D 博士,1,2,1,0,4,1,0,1,1,2,1,1,5,1,0,0,18 新竹市,1 一般
0002,國立清華大學,220901,歷史研究所,D 日,M 碩士,5,5,6,4,5,4,11,12,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,221001,人類學研究所,D 日,D 博士,2,0,1,1,0,1,1,1,0,2,0,1,1,1,0,0,18 新竹市,1 一般
0002,國立清華大學,221001,人類學研究所,D 日,M 碩士,1,6,1,7,4,6,4,3,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,221101,哲學研究所,D 日,M 碩士,4,1,4,1,2,2,4,1,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,229916,亞際文化研究國際碩士學位學程(台灣聯合大學系統),D 日,M 碩士,0,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,229999,人文社會學院學士班,D 日,B 學士,25,62,26,57,21,53,25,43,0,0,0,0,0,0,14,17,18 新竹市,1 一般
0002,國立清華大學,310101,經濟學系,D 日,D 博士,3,1,3,3,5,1,0,1,1,1,0,1,1,3,0,0,18 新竹市,1 一般
0002,國立清華大學,310101,經濟學系,D 日,M 碩士,14,16,9,8,0,0,1,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,310101,經濟學系,D 日,B 學士,49,55,52,64,49,65,48,66,0,0,0,0,0,0,10,7,18 新竹市,1 一般
0002,國立清華大學,310301,社會學研究所,D 日,D 博士,1,0,2,2,2,1,1,0,0,0,0,3,2,2,0,0,18 新竹市,1 一般
0002,國立清華大學,310301,社會學研究所,D 日,M 碩士,17,7,9,6,11,9,8,7,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,310719,台灣研究教師在職進修碩士學位班,N 職,M 碩士,3,12,8,9,3,10,1,8,1,4,0,0,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,310807,科技管理學院公共政策與管理碩士在職專班,N 職,M 碩士,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,311019,學習科學研究所,D 日,M 碩士,3,10,4,7,3,3,4,1,0,1,0,0,0,0,0,0,18 新竹市,1 一般
